  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
   366    12    31  2020      95       0  hru0095        0.000       0.000     -32.498     -44.023          131.372           11.181            0.000            1.195           14.384           -7.080            2.473            2.817            1.570           38.559            9.699          184.018           35.055            0.000            0.000
   366    12    31  2020      96       0  hru0096        0.000       0.000      -9.075     -36.096          117.708           23.045            0.000            0.722           17.189          -10.201            2.957            4.243            1.952           38.559            9.699          133.825           25.759            0.000            0.000
   366    12    31  2020      97       0  hru0097        0.000       0.000     -17.028     -48.249          117.708           23.045            0.000            0.069           18.510           -9.448            3.175            7.862            1.969           37.712            9.467          176.860           27.672            0.000            0.000
   366    12    31  2020      98       0  hru0098        0.000       0.000     -19.423     -38.383          117.708           23.045            0.000            0.906           14.115           -6.317            2.429            6.006            2.372           38.559            9.699          175.578           32.107            0.000            0.000
   366    12    31  2020      99       0  hru0099        0.000       0.000     -12.001     -29.064          187.754            6.746            0.000            5.669           20.336          -15.157            3.477            2.520            0.455           38.559            9.699           49.421            8.845            0.000            0.000
   366    12    31  2020     100       0  hru0100        0.000       0.000     -48.788     -69.145          187.754            6.746            0.000            1.049           35.893          -24.718            6.149            4.196            1.010           38.559            9.699          258.491           52.405            0.000            0.000
   366    12    31  2020     101       0  hru0101        0.000       0.000     -46.258     -54.663          187.754            6.746            0.000            0.199           14.971           -9.059            2.569            3.555            1.001           38.559            9.699          237.038           52.626            0.000            0.000
   366    12    31  2020     102       0  hru0102        0.000       0.000     -32.937     -54.204          121.948           11.831            0.000            0.000           32.918          -21.576            5.641            4.828            1.434           37.712            9.467          177.121           33.126            0.000            0.000
   366    12    31  2020     103       0  hru0103        0.000       0.000     -22.523     -39.090          100.358           17.169            0.000            1.826           16.739           -5.438            2.871           18.567            4.436           38.714            9.742          164.852           28.460            0.000            0.000
   366    12    31  2020     104       0  hru0104        0.000       0.000     -29.466     -56.219          136.875           17.169            0.000            0.028           19.651           -9.754            3.370            6.674            1.961           37.712            9.467          146.226           27.279            0.000            0.000
   366    12    31  2020     105       0  hru0105        0.000       0.000     -28.748     -41.863          136.875           17.169            0.000            0.789           14.869           -5.110            2.560            6.233            2.313           38.559            9.699          196.258           37.412            0.000            0.000
   366    12    31  2020     106       0  hru0106        0.000       0.000     -28.068     -43.012          136.875           17.169            0.000            4.100           16.155           -7.961            2.769            7.079            1.826           38.559            9.699          146.541           25.613            0.000            0.000
   366    12    31  2020     107       0  hru0107        0.000       0.000     -16.592     -44.795          114.537           20.051            0.000            0.190            8.816           -0.494            1.522            4.011            2.022           38.505            9.684          163.651           26.365            0.000            0.000
   366    12    31  2020     108       0  hru0108        0.000       0.000      -9.685     -55.126          184.382           68.593            0.000            0.000           24.246            9.059            4.399            4.570            1.995           38.413            9.659          164.072           27.816            0.000            0.000
   366    12    31  2020     109       0  hru0109        0.000       0.000     -21.368     -38.067          120.300           21.020            0.000            1.293           14.000           -6.099            2.414            6.125            2.444           38.232            9.610          174.632           33.326            0.000            0.000
   366    12    31  2020     110       0  hru0110        0.000       0.000     -21.578     -39.305            0.000            0.000            0.000            0.096           13.180           -5.043            2.241           30.105            5.307           38.232            9.610           87.414           17.643            0.000            0.000
   366    12    31  2020     111       0  hru0111        0.000       0.000      -8.185     -31.285          170.841           58.883            0.000            0.913           18.660           15.775            3.406            3.078            1.331           38.559            9.699          158.742           25.005            0.000            0.000
   366    12    31  2020     112       0  hru0112        0.000       0.000     -10.189     -49.294          185.659           62.327            0.000            0.101           23.645            4.314            4.229            2.000            0.828           38.307            9.630           87.278           13.271            0.000            0.000
   366    12    31  2020     113       0  hru0113        0.000       0.000      -9.272     -41.124          185.659           62.327            0.000            0.000           37.276           -0.851            6.546            6.378            1.906           38.307            9.630          185.975           27.582            0.000            0.000
   366    12    31  2020     114       0  hru0114        0.000       0.000     -14.046     -49.543          185.659           62.327            0.000            0.000           23.265            9.751            4.199            4.893            1.936           38.307            9.630          168.141           26.840            0.000            0.000
   366    12    31  2020     115       0  hru0115        0.000       0.000       0.533     -45.058          185.659           62.327            0.000            0.000           36.632          -18.618            6.345            2.710            0.288           38.307            9.630           43.190            4.869            0.000            0.000
   366    12    31  2020     116       0  hru0116        0.000       0.000      -4.084     -45.775          185.659           62.327            0.000            0.000           36.442          -20.574            6.287            1.766            0.165           38.307            9.630           30.267            3.052            0.000            0.000
   366    12    31  2020     117       0  hru0117        0.000       0.000      -7.072     -49.191          185.659           62.327            0.000            0.000           36.639           -6.019            6.409            4.888            1.694           38.307            9.630          156.612           24.116            0.000            0.000
   366    12    31  2020     118       0  hru0118        0.000       0.000     -10.176     -48.106          185.659           62.327            0.000            0.027           23.728            6.188            4.255            2.691            1.081           38.307            9.630          106.507           16.107            0.000            0.000
   366    12    31  2020     119       0  hru0119        0.000       0.000     -14.738     -50.803          185.659           62.327            0.000            0.002           23.302            9.274            4.204            5.155            2.017           38.307            9.630          160.038           25.817            0.000            0.000
   366    12    31  2020     120       0  hru0120        0.000       0.000     -16.677     -50.260          174.450           57.348            0.000            0.000           23.461           10.413            4.228            6.163            1.878           38.307            9.630          156.902           27.915            0.000            0.000
   366    12    31  2020     121       0  hru0121        0.000       0.000     -13.289     -48.620          174.450           57.348            0.000            0.010           23.486            9.242            4.221            4.377            1.368           37.842            9.503          118.412           20.104            0.000            0.000
   366    12    31  2020     122       0  hru0122        0.000       0.000     -16.160     -50.180          174.450           57.348            0.000            0.000           23.447           10.349            4.224            6.011            1.810           38.307            9.630          156.142           27.561            0.000            0.000
   366    12    31  2020     123       0  hru0123        0.000       0.000     -15.008     -50.139          174.450           57.348            0.000            0.010           23.838            8.678            4.279            5.307            1.459           38.307            9.630          126.623           21.704            0.000            0.000
   366    12    31  2020     124       0  hru0124        0.000       0.000     -12.464     -46.825          174.450           57.348            0.000            0.182           24.308            6.320            4.362            3.728            1.027           38.456            9.671           89.106           15.009            0.000            0.000
   366    12    31  2020     125       0  hru0125        0.000       0.000      -9.482     -45.480          184.053           62.908            0.000            0.015           23.603            9.663            4.261            3.137            1.130           37.708            9.466          119.633           17.937            0.000            0.000
   366    12    31  2020     126       0  hru0126        0.000       0.000      -9.231     -43.464          179.154           65.979            0.000            0.111           24.241            6.056            4.380            5.061            1.327           38.456            9.671           94.411           17.014            0.000            0.000
   366    12    31  2020     127       0  hru0127        0.000       0.000      -0.124     -46.456          179.154           65.979            0.000            0.000           37.063          -13.400            6.460            4.508            1.223           38.456            9.671           86.531           14.675            0.000            0.000
